ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
-1,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
1,99.9851227846178,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
2,99.98562555689544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
3,99.96702899803049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
3,99.96924065787924,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
5,99.97879048174,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
6,99.9948742872968,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
6,99.98452059769804,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
8,99.98934585017946,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
8,99.99216064675322,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
9,100.00261517563636,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
10,100.02934150427986,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
12,100.02974375410535,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
12,100.02280783984789,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
13,100.02542159115433,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
15,100.0241149533696,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
15,100.02743236432693,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
16,100.03467016417032,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
18,100.04050064496532,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
18,100.04884419560284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
20,100.05688617784644,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
21,100.06744122997588,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
22,100.07930307843142,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
22,100.09357747405188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
23,100.09538704300198,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
25,100.09106472141438,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
25,100.09669415653438,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
26,100.08362635180129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
27,100.08252075969538,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
28,100.08513451099924,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
30,100.08302369079937,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
31,100.0844311685984,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
31,100.0652314734127,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
33,100.05769242231923,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
33,100.05417428318094,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
34,100.0444237306554,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
36,100.046534867877,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
36,100.0559841693534,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
38,100.05548171395112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
39,100.06121167208894,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
40,100.05668830489084,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
41,100.0653334238895,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
41,100.073676974616,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
43,100.08051268326048,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
44,100.08342800295112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
45,100.093681486765,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
46,100.09730046598804,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
47,100.1076544725226,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
47,100.11067031507666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10737.638203655666
