ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
1,99.9958805139409,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
2,99.9863738007982,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
3,99.97707835141802,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
4,99.96123372391924,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
5,99.96176204162263,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
6,99.96112840842264,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
7,99.97338186762327,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
8,99.96419205012944,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
8,99.96493163161426,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
10,99.96197409641395,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
11,99.96598826711028,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
12,99.97158691623866,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
13,99.97200960194364,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
14,99.98774891376424,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
15,99.98341816404697,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
16,99.98838302163536,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
17,99.98574238237644,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
18,99.98394679820116,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
19,99.9815174223819,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
20,99.97686977697332,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
21,99.96165894095492,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
22,99.9617647311107,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
23,99.95373686406823,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
24,99.94750474040234,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
25,99.95764556142052,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
26,99.94782195251103,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
27,99.9396884540591,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
28,99.94908985165584,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
29,99.95130827993532,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
30,99.94940706383588,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
31,99.94666079256284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
32,99.9448652083894,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
33,99.93842182022571,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
34,99.91792938903028,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
35,99.9062044055426,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
36,99.90958478507444,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
37,99.91370458758068,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
38,99.91613427953794,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
39,99.92088787334036,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
40,99.90916288976268,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
41,99.90905741655672,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
42,99.910113893795,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
43,99.91117037103145,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
44,99.90852973134707,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
45,99.90229760720143,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
46,99.90081891896963,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
47,99.90060781337348,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
48,99.8994460205709,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
49,99.88053806797926,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
50,99.86036253241782,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
51,99.85170087453275,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
52,99.869024664987,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
53,99.89099625913543,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
54,99.8864542455376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
55,99.88656003551044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
56,99.87156046342174,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
57,99.85508204463238,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
58,99.84367395657937,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
59,99.84346285151844,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
60,99.84293484995824,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
61,99.8528644073731,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
62,99.85297019749903,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
63,99.8562449441801,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
64,99.86142106619737,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
65,99.86332259859051,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
66,99.85138635164952,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
67,99.8680763506088,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
68,99.86448502418888,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
69,99.86554150110628,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
70,99.86871061677178,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
71,99.87420363395007,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
72,99.86881656503932,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
73,99.86723224370148,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
74,99.85371151898288,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
75,99.8579369535518,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
76,99.855296313812,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
77,99.85814853368436,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
78,99.85202204145924,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
79,99.84790255543382,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
80,99.82910023473173,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
81,99.83765657714532,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10109.438576483988
