ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
1,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
2,100.00495767966524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
3,99.99367156624092,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
4,99.96846220163896,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
5,99.9530624003734,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
6,99.97415839386544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
7,99.98723797014635,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
8,99.99240660820196,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
9,99.9821752865669,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
10,99.98217544495093,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
11,99.96603728945104,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
12,99.95116488401464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
13,99.9494773756524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
14,99.93776934552034,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
15,99.92384625270944,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
16,99.9006409923928,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
17,99.91825617318844,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
18,99.93175766606228,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
19,99.9317578244992,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
20,99.93629358748288,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
21,99.9311252662496,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
22,99.94209525897716,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
23,99.9515885431702,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
24,99.94779145124843,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
25,99.9503231098996,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
26,99.952010935137,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
27,99.95285492694376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
28,99.94093593846593,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
29,99.94494430555652,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
30,99.93861571335955,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
31,99.92258303705962,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
32,99.90865994415698,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10083.04164408767
