ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
1,100.00406034702254,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
2,100.03319235816532,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
3,100.03887678059904,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
4,100.03339568459631,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
5,100.00426399047625,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
6,99.99533173423936,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
7,99.96710844733916,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
8,100.00121932457286,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
9,100.00294506316888,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
10,100.03319362617287,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
11,100.03786300142774,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
12,100.0550174564164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
13,100.02537823879076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
14,100.01614146839378,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
15,99.99482563723186,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
16,99.9915776449274,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
17,99.9911717845396,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
18,100.00517959345888,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
19,99.9875179319329,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
20,99.9684300650525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
21,99.95472708697456,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
22,99.97309959823792,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
23,99.96782151138729,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
24,99.96812618367156,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
25,99.96396464864011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
26,99.9614271890351,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
27,99.95817919640996,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
27,99.95320562362308,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
29,99.9233633962199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
30,99.89544975832104,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
31,99.87179931847704,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
32,99.83647583654356,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
33,99.85840101267164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
34,99.86784110914114,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
35,99.86855180035406,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
36,99.86581133132825,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
37,99.88519888968766,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
38,99.88804117982224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
39,99.9432599018572,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
40,99.9477262674534,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
41,99.9712755190293,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
42,99.96772301229916,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
43,99.94336203934434,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
44,99.955745772489,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
45,99.93524197868484,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
46,99.92032094403494,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
47,99.91433232393244,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
48,99.8631741070038,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
49,99.84317783675188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
50,99.81323410462016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
51,99.79252730132714,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
52,99.82511047232002,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
53,99.80166304184004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
54,99.80491135086504,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
55,99.79882122628035,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
56,99.7945581865126,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
57,99.79780649552218,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
58,99.78968627661486,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
59,99.78217508605285,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
60,99.80988603087658,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
61,99.80095377432498,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
62,99.79537117321304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
63,99.8042022415455,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
64,99.78379995228056,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
65,99.77973992212056,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
66,99.7822776979949,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
67,99.77973508403106,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10846.565909350133
