ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
1,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
2,100.00800434242116,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
3,100.03051626816148,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
4,100.03291768183848,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
5,100.00750455635816,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
6,100.01861051991604,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
7,100.07283902445864,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
8,100.05623050128098,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
9,100.07163871371792,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
10,100.06403489753802,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
11,100.06573594500712,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
12,100.0711389276125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
13,100.06223443149857,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
14,100.035020364664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
15,100.02741654837044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
16,100.00480488730224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
17,100.05092915547814,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
18,100.04022371770245,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
19,100.05623224435736,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
20,100.05913391929636,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
21,100.06463695427368,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
22,100.058033661013,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
23,100.0620359114772,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
24,100.07984537916606,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
25,100.08804982613624,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
26,100.10165709724215,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10733.77473145935
