ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
1,100.019343936151,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
2,100.01853388412896,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
3,100.01519192403224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
4,100.02136993826524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
5,100.00000079271146,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
5,100.00070988554252,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
7,99.9957475042052,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
8,99.99817829452957,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
9,100.00628055880156,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
10,100.03109341641448,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
11,100.04770289185396,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
12,100.05053878749004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
13,100.06208444677274,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
14,100.03848722206892,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
15,100.02906868265596,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
16,100.03585435476845,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
17,100.05165361963904,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
18,100.0500333569827,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
19,100.06431347705886,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
20,100.0350447783083,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
21,100.04183045046013,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
22,100.0555029125852,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
23,100.05155329453632,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
24,100.0252216091788,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
25,100.03534939997436,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
26,100.03838784819854,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
27,100.03727396716964,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
28,100.05084515294848,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
29,100.05722571981626,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
30,100.06107437861247,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
31,100.06694856387342,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
32,100.05834023495508,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
33,100.05611231435104,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
34,100.06127756539956,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
35,100.07019004031687,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
36,100.06715190913908,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
37,100.07211460746116,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
38,100.06006288356949,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
39,100.054391568137,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
40,100.07403933328136,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10714.517437002642
