ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
1,100.0063702425668,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
2,100.00874568644592,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
3,100.00950161732328,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
4,100.00529104204652,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
5,100.0024840445378,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
6,100.00064875478526,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
7,99.99017606250456,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
8,99.98898857803856,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
9,99.97398124949449,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
10,99.98877295953612,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
11,100.00378060442776,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
12,100.00734369126825,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
13,100.02267523874588,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
14,100.02094791645447,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
15,100.01824888668354,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
16,100.02008449275156,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
17,100.028506118622,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
18,100.03336481571851,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10097.724286471985
