ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
1,99.98284439572176,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
2,100.00179568717964,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
3,99.97117480415524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
4,99.9814484714678,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
5,100.00189590497826,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
6,99.9931186962622,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
7,100.0062849049696,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
8,100.00857914790735,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
9,100.00359216599364,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
10,100.00977637817016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
11,100.00778168048386,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
12,100.01157206522902,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
13,100.01117325237348,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
14,100.0251374035891,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
15,100.02533704759148,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
16,100.01785649548049,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
17,100.02074919506268,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
18,100.02633495042544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
19,100.03361633375572,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
20,100.03670851881016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
21,100.04249376012152,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
22,100.04494739399024,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
23,100.04873777958622,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
24,100.06649215765157,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
25,100.06709077311667,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
26,100.06120610630742,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
27,100.07008337467346,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
28,100.0672907345742,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
29,100.07686620264217,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10858.8351071054
