ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
1,100.00241723350187,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
2,100.00700962913562,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
3,99.99486418995863,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
4,99.9943607908865,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
5,99.9895267987003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
6,99.9791536756934,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
7,99.97744173911848,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
8,99.96988853730076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
9,99.96706877447076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
10,99.97170166022,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
11,99.97885233268045,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
12,99.98852079181164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
13,99.99607430995871,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
14,99.98489549556452,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
15,99.9954703579223,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
16,99.98821929050663,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
17,99.97764474465536,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
18,99.97271004095616,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
19,99.9667682227209,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
20,99.96555984335818,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
21,99.96898419151552,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
22,99.96112885527958,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
23,99.95629486316224,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
24,99.95730213589074,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
25,99.95861154349107,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
26,99.9561946265046,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
27,99.961935338441,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
28,99.95679921179752,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
29,99.95559083250942,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
30,99.95357676129169,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
31,99.95246909356182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
32,99.94985075362771,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
33,99.95166371833548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
34,99.96193644629076,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
35,99.96445439125566,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
36,99.96928869995811,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
37,99.95700205913258,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
37,99.95811004339984,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
39,99.95589454954586,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
40,99.95760680276685,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10836.838797405218
