ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
1,100.0281260326941,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
2,100.01733370456814,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
3,100.0122101568912,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
4,100.014608646276,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
5,100.00883100892868,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
6,100.0034894316828,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
7,100.00370762003462,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
8,99.98539325610388,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
10,99.98746469995014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
10,99.9840853929756,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
11,99.9831044163575,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
12,99.98005215440811,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
13,99.98397685280698,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
14,99.97819921607004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
15,99.96729787311187,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
16,99.97154961727544,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
17,99.9717678058027,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
18,99.97689166968978,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
19,99.98059833909464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
20,99.98223372270898,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
21,99.99269932285262,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
22,100.0001125022456,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
23,100.00294705122212,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
24,100.0027291797918,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
25,100.00730796895871,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
27,100.00567290215604,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
27,100.00828942085944,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
28,100.01417639020084,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
29,100.01308639889304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
30,100.02267987878932,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
31,100.01973663155393,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
32,100.01908270005676,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
33,100.01570339307304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
34,100.0162486268375,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
35,100.01886514582084,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
36,100.00949001283249,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
37,100.01058032140982,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
39,100.01232472024508,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
40,100.0099265485247,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
41,100.00480315979208,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
42,100.0012058227575,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
43,100.00938210724108,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
44,100.00818310088503,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
45,100.0130889351158,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
46,100.01374318355346,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
48,100.01407038742306,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
48,100.0104730503642,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
50,100.020175545446,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
50,100.04067052689152,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
51,100.0306413039726,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
52,100.04296015901112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
53,100.03914479220384,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
54,100.0517906925182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
55,100.04524995009356,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
56,100.04568616867286,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
57,100.04634041732388,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
59,100.04743072594972,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
59,100.05026527489468,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
60,100.0537539137427,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
62,100.05451717754548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
63,100.05375438941704,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
64,100.06302082410797,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
65,100.06084068229345,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
66,100.06214902098516,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
68,100.0629122846208,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
69,100.06084115788724,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
70,100.058333971113,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
70,100.05669890420975,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
72,100.05408270235796,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
72,100.0444895395094,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
74,100.03958402247932,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
75,100.04459887178956,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
75,100.04350888014652,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
77,100.0410016932814,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
78,100.03326178560324,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
78,100.03326194436602,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
79,100.02639415681077,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
80,100.02693939051184,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
81,100.02421417356372,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
83,100.02279713687022,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
84,100.0251956253558,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
84,100.02247040885464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
85,100.02595904788848,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
86,100.0217076203572,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
87,100.02214383949376,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
88,100.02214399787576,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
90,100.02476051690095,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
90,100.02312544968596,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
92,100.02410674380398,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
92,100.01789304621008,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
93,100.0153858596052,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
95,100.01604010812552,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
95,100.01822056636249,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
96,100.0175666355838,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
97,100.0175667934264,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
99,100.01538665237504,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
100,100.0156048408478,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
100,100.01527795435112,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
101,100.01407894767586,0.23692561140016696,0.23692561140016696,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
102,100.01418812119373,0.23098162929686247,0.23098162929686247,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
104,100.01440630906043,0.2203304369649279,0.2203304369649279,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
104,100.01680479874832,0.11461782256623776,0.11461782256623776,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
105,100.0111361765507,0.3623698917871176,0.3623698917871176,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
107,100.00764785349584,0.5135943748038707,0.5135943748038707,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
107,100.01026437357844,0.39526774935541975,0.39526774935541975,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
109,100.01440710268724,0.2095746395857416,0.2095746395857416,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
110,100.0181137715225,0.04338988174646543,0.04338988174646543,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
111,100.0222565006912,-0.14232734531665625,-0.14232734531665625,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
112,100.01920423876275,-0.004358697114243506,-0.004358697114243506,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
113,100.02498219272756,-0.2654241769719352,-0.2654241769719352,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
113,100.01593410533124,0.1464787071333898,0.1464787071333898,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
114,100.008739272914,0.47342966539676234,0.47342966539676234,0,0.0,0.0,0.0,0.0,0.0,0.0,10058.464410873969
