ts,price,signal,mr_signal,position,realized_pnl,mtm_pnl,trade_tc,cum_tc,cum_realized_pnl,cum_net_pnl,equity
0,100.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
1,99.99838754100024,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
2,99.9597923895741,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
4,99.95194447684538,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
5,99.97376872375794,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
5,99.98785240707258,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
6,99.97688676694958,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
7,100.0049464677047,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
9,100.01558990106808,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
10,99.99494855672393,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
10,100.03053380542885,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
12,100.03042645587692,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
12,100.02548125399883,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
14,100.00505492549608,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
15,100.00408751332417,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
16,99.99634710815788,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
16,100.00570044731278,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
18,100.01290362988264,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
19,100.02773986819062,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
20,100.03128778473716,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
20,100.01440921411138,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
22,99.9939828854479,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
23,99.9879626057255,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
24,100.01892501724512,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
25,100.00602423702468,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
26,100.0072069812508,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
26,100.00688461615086,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
28,100.01849561921928,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
28,100.00312215874816,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
29,99.99753191019975,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
30,99.9989296701988,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
32,100.0033376492072,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
33,100.0037678388291,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
34,99.99871512901773,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
35,99.98936210685495,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
36,99.99979052383055,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
37,100.00419850340889,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
38,100.0026935516516,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
39,100.00968171895008,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
40,100.00301639201878,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
40,100.01516493461126,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
42,100.01925039034008,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
43,100.01312260247,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
43,100.01656301132893,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
44,100.0290340774568,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
45,100.01796092970407,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
47,100.027851807619,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
48,100.03344237313549,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
49,100.03075483574548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
50,100.01570389846388,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
51,100.01452147065714,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
52,100.00602866897697,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
55,100.00968425111986,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
56,100.01247961320344,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
57,100.0135548499066,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
58,100.00914718719504,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9821.61153739128
